dist_m,n,eta_true_mean_s,E3_cov_pct,E3_breach_early_pct,E3_breach_late_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_breach_late_pct,E3x_width_s,scenario,warm_mult,warm_scale_m
60.0,180,40.0,50.0,0.0,50.0,30.2,100.0,0.0,0.0,49.3,S6_n9,1.2,7.2
100.0,180,66.7,50.0,0.0,50.0,50.3,100.0,0.0,0.0,77.8,S6_n9,1.2,7.2
30.0,210,20.0,42.9,0.0,57.1,15.3,100.0,0.0,0.0,28.1,S6_n9,1.3,7.8
60.0,210,40.0,42.9,0.0,57.1,30.6,100.0,0.0,0.0,49.8,S6_n9,1.3,7.8
100.0,210,66.7,42.9,0.0,57.1,51.1,100.0,0.0,0.0,78.6,S6_n9,1.3,7.8
30.0,90,20.0,100.0,0.0,0.0,14.9,100.0,0.0,0.0,27.8,S6_n9,1.5,9.0
60.0,90,40.0,100.0,0.0,0.0,29.9,100.0,0.0,0.0,49.1,S6_n9,1.5,9.0
100.0,90,66.7,100.0,0.0,0.0,49.9,100.0,0.0,0.0,77.4,S6_n9,1.5,9.0
30.0,453,20.3,78.8,21.2,0.0,20.1,93.6,6.4,0.0,33.0,S7_worst,0.5,3.0
60.0,453,40.2,86.3,13.7,0.0,39.1,93.4,6.6,0.0,58.3,S7_worst,0.5,3.0
100.0,453,67.0,90.5,9.5,0.0,64.6,95.1,4.9,0.0,92.1,S7_worst,0.5,3.0
30.0,467,20.2,88.2,11.3,0.4,19.5,96.4,3.6,0.0,32.4,S7_worst,0.7,4.2
60.0,468,40.1,90.8,9.0,0.2,38.5,95.1,4.9,0.0,57.6,S7_worst,0.7,4.2
100.0,467,67.0,95.3,4.5,0.2,63.8,96.6,3.4,0.0,91.3,S7_worst,0.7,4.2
30.0,459,20.1,92.6,5.7,1.7,19.7,99.6,0.4,0.0,32.6,S7_worst,0.8,4.8
60.0,460,40.1,95.7,3.7,0.7,39.1,97.4,2.6,0.0,58.3,S7_worst,0.8,4.8
