dist_m,n,E3_cov_pct,E3_breach_early_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_width_s,E3x2_cov_pct,E3x2_breach_early_pct,E3x2_width_s,scenario,tau_s,mode,warm_mult
30.0,466,13.3,86.7,15.8,100.0,0.0,28.6,100.0,0.0,31.8,S4_40,10.0,uniform,1.0
60.0,466,100.0,0.0,30.6,100.0,0.0,49.7,100.0,0.0,52.9,S4_40,10.0,uniform,1.0
100.0,466,100.0,0.0,50.4,100.0,0.0,77.9,100.0,0.0,81.0,S4_40,10.0,uniform,1.0
30.0,461,48.2,51.8,18.2,94.1,5.9,31.1,99.8,0.2,34.2,S4_40,10.0,variable,1.0
60.0,461,91.5,8.5,35.1,98.9,1.1,54.2,99.8,0.2,57.4,S4_40,10.0,variable,1.0
100.0,461,97.0,3.0,57.6,99.8,0.2,85.1,99.8,0.2,88.3,S4_40,10.0,variable,1.0
30.0,469,0.6,99.4,14.2,0.6,99.4,27.1,97.9,2.1,30.3,S4_40,10.0,uniform,0.5
60.0,469,0.6,99.4,27.7,3.6,96.4,46.8,100.0,0.0,50.0,S4_40,10.0,uniform,0.5
100.0,469,1.7,98.3,45.7,16.4,83.6,73.2,100.0,0.0,76.3,S4_40,10.0,uniform,0.5
30.0,471,2.1,97.9,17.3,27.0,73.0,30.2,80.7,19.3,33.3,S4_40,10.0,variable,0.5
60.0,471,23.8,76.2,33.2,58.0,42.0,52.3,83.2,16.8,55.5,S4_40,10.0,variable,0.5
100.0,471,47.6,52.4,54.4,69.2,30.8,81.8,84.5,15.5,85.0,S4_40,10.0,variable,0.5
30.0,210,100.0,0.0,15.9,100.0,0.0,28.7,100.0,0.0,31.9,S6_n9,0.0,uniform,1.0
60.0,210,100.0,0.0,31.6,100.0,0.0,50.7,100.0,0.0,53.9,S6_n9,0.0,uniform,1.0
100.0,210,100.0,0.0,52.5,100.0,0.0,80.0,100.0,0.0,83.2,S6_n9,0.0,uniform,1.0
30.0,180,100.0,0.0,14.5,100.0,0.0,27.4,100.0,0.0,30.6,S6_n9,2.0,uniform,1.0
60.0,180,100.0,0.0,28.5,100.0,0.0,47.7,100.0,0.0,50.8,S6_n9,2.0,uniform,1.0
100.0,180,100.0,0.0,47.2,100.0,0.0,74.7,100.0,0.0,77.9,S6_n9,2.0,uniform,1.0
30.0,186,100.0,0.0,14.9,100.0,0.0,27.8,100.0,0.0,30.9,S6_n9,2.0,variable,1.0
60.0,186,100.0,0.0,29.3,100.0,0.0,48.4,100.0,0.0,51.6,S6_n9,2.0,variable,1.0
100.0,186,100.0,0.0,48.5,100.0,0.0,76.0,100.0,0.0,79.1,S6_n9,2.0,variable,1.0
30.0,180,100.0,0.0,14.5,100.0,0.0,27.4,100.0,0.0,30.5,S6_n9,5.0,uniform,1.0
60.0,180,100.0,0.0,28.4,100.0,0.0,47.5,100.0,0.0,50.7,S6_n9,5.0,uniform,1.0
100.0,180,100.0,0.0,46.9,100.0,0.0,74.4,100.0,0.0,77.6,S6_n9,5.0,uniform,1.0
30.0,185,93.0,7.0,14.5,100.0,0.0,27.4,100.0,0.0,30.6,S6_n9,5.0,variable,1.0
60.0,185,100.0,0.0,28.5,100.0,0.0,47.6,100.0,0.0,50.8,S6_n9,5.0,variable,1.0
100.0,185,100.0,0.0,47.1,100.0,0.0,74.6,100.0,0.0,77.7,S6_n9,5.0,variable,1.0
