metric,t_max,front,mode,tau_s,ref,mine,abs_diff
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,20.0,8.903717,8.9037,1.6553e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,30.0,8.724045,8.724,4.5499e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,50.0,7.964134,7.9641,3.4416e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,78.5,7.972262,7.9723,3.7946e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,100.0,7.965656,7.9657,4.3693e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,jitter,11.0,11.998759,11.9988,4.0941e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,jitter,30.0,17.557649,17.5576,4.9123e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,jitter,78.5,66.26815,66.2682,4.9997e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,0.0,-0.096111,-0.0961,1.1262e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,2.0,1.004948,1.0049,4.8354e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,5.0,2.170153,2.1702,4.6566e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,10.0,1.219449,1.2194,4.8594e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,11.0,1.219449,1.2194,4.8594e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,20.0,2.28005,2.28,4.9526e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,30.0,2.170153,2.1702,4.6566e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,50.0,2.651606,2.6516,6.317e-06
속도(%) vs 2.K-D,120.0,straight_S1,uniform,78.5,3.137187,3.1372,1.2674e-05
속도(%) vs 2.K-D,120.0,straight_S1,uniform,100.0,3.362279,3.3623,2.1176e-05
속도(%) vs 2.K-D,120.0,straight_S1,jitter,11.0,10.390414,10.3904,1.3702e-05
속도(%) vs 2.K-D,120.0,straight_S1,jitter,30.0,33.616293,33.6163,6.829e-06
속도(%) vs 2.K-D,120.0,straight_S1,jitter,78.5,71.716782,71.7168,1.8079e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,0.0,16.313291,16.3133,9.327e-06
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,2.0,14.657228,14.6572,2.828e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,5.0,11.398971,11.399,2.9359e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,10.0,8.884459,8.8845,4.149e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,11.0,8.09349,8.0935,9.669e-06
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,20.0,7.294431,7.2944,3.1069e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,30.0,7.779597,7.7796,2.643e-06
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,50.0,8.058125,8.0581,2.4682e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,78.5,8.493469,8.4935,3.1199e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,uniform,100.0,8.384165,8.3842,3.5141e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,jitter,11.0,12.23429,12.2343,9.655e-06
속도(%) vs 2.K-D,120.0,curved_S2a10,jitter,30.0,31.534551,31.5346,4.8685e-05
속도(%) vs 2.K-D,120.0,curved_S2a10,jitter,78.5,76.511654,76.5117,4.6219e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,0.0,29.801156,29.8012,4.3755e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,2.0,24.091807,24.0918,6.693e-06
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,5.0,19.783315,19.7833,1.5353e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,10.0,15.265905,15.2659,5.462e-06
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,11.0,15.639906,15.6399,6.16e-06
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,20.0,11.52222,11.5222,1.9842e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,30.0,8.906681,8.9067,1.9473e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,50.0,5.952294,5.9523,6.002e-06
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,78.5,5.872917,5.8729,1.6783e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,uniform,100.0,6.087929,6.0879,2.9177e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,jitter,11.0,18.927696,18.9277,3.619e-06
속도(%) vs 2.K-D,120.0,curved_S2a20,jitter,30.0,33.553641,33.5536,4.1131e-05
속도(%) vs 2.K-D,120.0,curved_S2a20,jitter,78.5,73.904032,73.904,3.2363e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,0.0,-0.096111,-0.0961,1.1262e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,2.0,1.004948,1.0049,4.8354e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,5.0,2.170153,2.1702,4.6566e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,10.0,1.219449,1.2194,4.8594e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,11.0,1.219449,1.2194,4.8594e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,20.0,2.28005,2.28,4.9526e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,30.0,2.170153,2.1702,4.6566e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,50.0,2.651606,2.6516,6.317e-06
속도(%) vs 2.K-D,400.0,straight_S1,uniform,78.5,3.137187,3.1372,1.2674e-05
속도(%) vs 2.K-D,400.0,straight_S1,uniform,100.0,3.362279,3.3623,2.1176e-05
속도(%) vs 2.K-D,400.0,straight_S1,jitter,11.0,10.390414,10.3904,1.3702e-05
속도(%) vs 2.K-D,400.0,straight_S1,jitter,30.0,33.616293,33.6163,6.829e-06
속도(%) vs 2.K-D,400.0,straight_S1,jitter,78.5,71.716782,71.7168,1.8079e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,0.0,16.313291,16.3133,9.327e-06
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,2.0,14.657228,14.6572,2.828e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,5.0,11.398971,11.399,2.9359e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,10.0,8.884459,8.8845,4.149e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,11.0,8.09349,8.0935,9.669e-06
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,20.0,7.294431,7.2944,3.1069e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,30.0,7.779597,7.7796,2.643e-06
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,50.0,8.058125,8.0581,2.4682e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,78.5,8.493469,8.4935,3.1199e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,uniform,100.0,8.384165,8.3842,3.5141e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,jitter,11.0,12.23429,12.2343,9.655e-06
속도(%) vs 2.K-D,400.0,curved_S2a10,jitter,30.0,31.534551,31.5346,4.8685e-05
속도(%) vs 2.K-D,400.0,curved_S2a10,jitter,78.5,76.511654,76.5117,4.6219e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,0.0,29.801156,29.8012,4.3755e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,2.0,24.091807,24.0918,6.693e-06
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,5.0,19.783315,19.7833,1.5353e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,10.0,15.265905,15.2659,5.462e-06
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,11.0,15.639906,15.6399,6.16e-06
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,20.0,11.52222,11.5222,1.9842e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,30.0,8.906681,8.9067,1.9473e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,50.0,5.952294,5.9523,6.002e-06
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,78.5,5.872917,5.8729,1.6783e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,uniform,100.0,6.087929,6.0879,2.9177e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,jitter,11.0,18.927696,18.9277,3.619e-06
속도(%) vs 2.K-D,400.0,curved_S2a20,jitter,30.0,33.553641,33.5536,4.1131e-05
속도(%) vs 2.K-D,400.0,curved_S2a20,jitter,78.5,73.904032,73.904,3.2363e-05
