t_max,front,mode,tau_s,n_seeds,dir_err_deg_mean,dir_err_deg_std,dir_err_deg_n,speed_err_pct_mean,speed_err_pct_std,speed_err_pct_n,speed_err_ms_mean,speed_err_ms_std,speed_err_ms_n,speed_est_ms_mean,speed_est_ms_std,speed_est_ms_n,eta_err_30_s_mean,eta_err_30_s_std,eta_err_30_s_n,eta_err_60_s_mean,eta_err_60_s_std,eta_err_60_s_n,eta_err_100_s_mean,eta_err_100_s_std,eta_err_100_s_n,dir_err_deg_absmean,speed_err_pct_absmean,eta_err_100_s_absmean
120.0,straight_S1,jitter,11.0,30,2.0756,1.4654,30,10.3904,7.7174,30,0.1559,0.1158,30,1.6559,0.1158,30,-4.5826,2.7071,30,-7.421,4.6486,30,-11.4048,7.2198,30,2.0756,10.8959,11.8763
120.0,straight_S1,jitter,30.0,30,7.7643,7.1329,30,33.6163,30.0481,30,0.5042,0.4507,30,2.0042,0.4507,30,-5.5846,6.8139,30,-11.4836,10.8921,30,-19.9704,15.9789,30,7.7643,34.7685,22.345
120.0,straight_S1,jitter,78.5,30,67.7092,47.5807,30,71.7168,50.5072,30,1.0758,0.7576,30,2.5758,0.7576,30,-11.3328,9.9736,27,-23.2771,14.8776,27,-37.9793,20.4606,27,67.7092,72.1394,39.4175
120.0,curved_S2a10,uniform,0.0,30,4.7572,3.5354,30,16.3133,8.6284,30,0.2447,0.1294,30,1.7447,0.1294,30,-12.5981,1.283,30,-18.332,2.5227,30,-27.6961,4.0365,30,4.7572,16.3304,27.6961
120.0,curved_S2a10,uniform,2.0,30,4.357,3.4415,30,14.6572,7.4818,30,0.2199,0.1122,30,1.7199,0.1122,30,-10.1898,1.0328,30,-14.7221,2.0167,30,-22.601,3.0781,30,4.357,14.7206,22.601
120.0,curved_S2a10,uniform,5.0,30,4.4586,3.1241,30,11.399,6.4351,30,0.171,0.0965,30,1.671,0.0965,30,-7.718,0.9373,30,-11.1553,1.712,30,-17.7503,2.6803,30,4.4586,11.412,17.7503
120.0,curved_S2a10,uniform,10.0,30,4.3958,3.258,30,8.8845,4.4687,30,0.1333,0.067,30,1.6333,0.067,30,-5.066,0.7725,30,-7.4808,1.3471,30,-12.7691,2.0963,30,4.3958,8.9432,12.7691
120.0,curved_S2a10,uniform,11.0,30,4.396,3.2178,30,8.0935,4.4343,30,0.1214,0.0665,30,1.6214,0.0665,30,-4.8349,0.8761,30,-7.1864,1.5039,30,-12.4055,2.2948,30,4.396,8.1696,12.4055
120.0,curved_S2a10,uniform,20.0,30,4.3354,3.2747,30,7.2944,3.871,30,0.1094,0.0581,30,1.6094,0.0581,30,-2.7676,0.7205,30,-4.9308,1.4157,30,-9.8834,2.3014,30,4.3354,7.3182,9.8834
120.0,curved_S2a10,uniform,30.0,30,4.3202,3.2743,30,7.7796,3.7481,30,0.1167,0.0562,30,1.6167,0.0562,30,-0.9299,0.708,30,-3.0304,1.2928,30,-8.2626,2.1024,30,4.3202,7.7796,8.2626
