label,group,kappa_h_med,kappa_h_p95,gap_s,dtw_scaled,window_mode,dt_window,seed,dir_err,estimable,grade,n_local,per_node_frac,n_obs_mean,sigma_t_mean,s2_med
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,8,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,9,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,10,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,11,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,12,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,13,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,14,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,15,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,1,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,2,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,3,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,4,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,5,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,6,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,7,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,8,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,9,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,10,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,11,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,12,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,13,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,14,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,15,0.3522298056145573,1,OK,13,86.7,5.0,0.3635,0.4472
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,1,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,2,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,3,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,4,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,5,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,6,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,7,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,8,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,9,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,10,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,11,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
