scenario,tau_s,var_pct,warm_mult,tau_used_mult,dist_m,n,dir_deg,E3x_cov,E3x_be,E3x_w,E3x2_cov,E3x2_be,E3x2_w
S2a_20,5.0,0.0,1.0,0.8,30.0,489,9.007,100.0,0.0,32.7,100.0,0.0,35.9
S2a_20,5.0,0.0,1.0,0.8,60.0,489,9.007,99.2,0.6,57.8,99.6,0.2,61.0
S2a_20,5.0,0.0,1.0,0.8,100.0,489,9.007,99.4,0.6,91.2,99.4,0.6,94.3
S2a_20,5.0,0.0,1.0,1.0,30.0,489,8.979,99.8,0.0,32.9,99.8,0.0,36.1
S2a_20,5.0,0.0,1.0,1.0,60.0,489,8.979,99.0,0.2,58.2,99.0,0.2,61.4
S2a_20,5.0,0.0,1.0,1.0,100.0,489,8.979,98.8,0.8,91.9,99.6,0.0,95.1
S2a_20,5.0,0.0,1.0,1.5,30.0,442,9.278,98.4,0.0,34.4,98.4,0.0,37.6
S2a_20,5.0,0.0,1.0,1.5,60.0,442,9.278,98.4,0.0,61.3,98.4,0.0,64.4
S2a_20,5.0,0.0,1.0,1.5,100.0,442,9.278,98.9,0.0,96.9,98.9,0.0,100.1
S2a_20,10.0,0.0,1.0,0.0,30.0,491,16.767,97.8,2.2,34.5,98.8,1.2,37.7
S2a_20,10.0,0.0,1.0,0.0,60.0,485,16.767,95.7,4.3,60.4,97.7,2.3,63.5
S2a_20,10.0,0.0,1.0,0.0,100.0,484,16.767,92.4,7.6,94.9,93.6,6.4,98.1
S2a_20,10.0,0.0,1.0,0.5,30.0,492,9.573,98.8,1.2,33.1,100.0,0.0,36.2
S2a_20,10.0,0.0,1.0,0.5,60.0,492,9.573,99.4,0.6,58.0,99.4,0.6,61.2
S2a_20,10.0,0.0,1.0,0.5,100.0,492,9.573,96.3,3.7,91.3,98.4,1.6,94.4
S2a_20,10.0,0.0,1.0,0.8,30.0,492,9.382,99.4,0.0,33.1,99.4,0.0,36.3
S2a_20,10.0,0.0,1.0,0.8,60.0,492,9.382,98.6,1.2,58.1,99.6,0.2,61.3
S2a_20,10.0,0.0,1.0,0.8,100.0,492,9.382,99.2,0.8,91.4,100.0,0.0,94.6
S2a_20,10.0,0.0,1.0,1.0,30.0,492,9.29,97.8,0.0,33.6,97.8,0.0,36.7
S2a_20,10.0,0.0,1.0,1.0,60.0,492,9.29,98.4,0.4,59.1,98.6,0.2,62.2
S2a_20,10.0,0.0,1.0,1.0,100.0,492,9.29,98.6,0.4,93.0,99.0,0.0,96.1
S2a_20,10.0,0.0,1.0,1.5,30.0,437,9.644,96.3,0.0,35.7,96.3,0.0,38.9
S2a_20,10.0,0.0,1.0,1.5,60.0,437,9.644,97.5,0.0,63.3,97.5,0.0,66.5
S2a_20,10.0,0.0,1.0,1.5,100.0,437,9.644,97.7,0.0,100.0,97.7,0.0,103.1
S2a_20,10.0,0.0,0.5,0.0,30.0,493,12.198,83.2,16.8,35.3,94.9,5.1,38.5
S2a_20,10.0,0.0,0.5,0.0,60.0,492,12.198,85.4,14.6,61.7,92.1,7.9,64.9
S2a_20,10.0,0.0,0.5,0.0,100.0,492,12.198,85.0,15.0,96.9,88.2,11.8,100.0
S2a_20,10.0,0.0,0.5,0.5,30.0,496,11.307,95.0,5.0,35.9,98.4,1.6,39.1
S2a_20,10.0,0.0,0.5,0.5,60.0,496,11.307,92.7,7.3,62.8,96.6,3.4,66.0
S2a_20,10.0,0.0,0.5,0.5,100.0,496,11.307,89.3,10.7,98.6,91.3,8.7,101.8
S2a_20,10.0,0.0,0.5,0.8,30.0,498,10.526,98.4,1.6,35.6,99.2,0.8,38.8
S2a_20,10.0,0.0,0.5,0.8,60.0,498,10.526,97.4,2.6,62.4,98.0,2.0,65.5
S2a_20,10.0,0.0,0.5,0.8,100.0,498,10.526,92.4,7.6,97.9,93.6,6.4,101.1
S2a_20,10.0,0.0,0.5,1.0,30.0,497,10.44,99.2,0.8,35.4,99.4,0.6,38.5
S2a_20,10.0,0.0,0.5,1.0,60.0,498,10.44,97.6,2.4,61.9,98.4,1.6,65.1
S2a_20,10.0,0.0,0.5,1.0,100.0,498,10.44,93.0,7.0,97.3,95.0,5.0,100.5
S2a_20,10.0,0.0,0.5,1.5,30.0,499,10.319,99.2,0.8,34.9,100.0,0.0,38.1
S2a_20,10.0,0.0,0.5,1.5,60.0,500,10.319,98.4,1.6,61.2,99.4,0.6,64.3
S2a_20,10.0,0.0,0.5,1.5,100.0,500,10.319,94.4,5.6,96.1,96.4,3.6,99.3
S2a_20,10.0,0.3,0.5,0.0,30.0,493,10.498,86.2,13.8,35.4,95.3,4.7,38.6
S2a_20,10.0,0.3,0.5,0.0,60.0,493,10.498,87.4,12.6,61.8,94.3,5.7,65.0
S2a_20,10.0,0.3,0.5,0.0,100.0,493,10.498,85.0,15.0,97.0,88.6,11.4,100.1
S2a_20,10.0,0.3,0.5,0.5,30.0,493,11.039,94.7,5.3,35.8,99.0,1.0,39.0
S2a_20,10.0,0.3,0.5,0.5,60.0,493,11.039,93.5,6.5,62.6,96.8,3.2,65.8
S2a_20,10.0,0.3,0.5,0.5,100.0,493,11.039,89.7,10.3,98.3,93.1,6.9,101.5
S2a_20,10.0,0.3,0.5,0.8,30.0,494,11.135,98.6,1.4,35.8,99.6,0.4,38.9
S2a_20,10.0,0.3,0.5,0.8,60.0,495,11.135,96.6,3.4,62.6,98.0,2.0,65.8
S2a_20,10.0,0.3,0.5,0.8,100.0,496,11.135,92.1,7.9,98.3,94.2,5.8,101.5
S2a_20,10.0,0.3,0.5,1.0,30.0,494,10.39,99.2,0.8,35.5,99.8,0.2,38.7
S2a_20,10.0,0.3,0.5,1.0,60.0,495,10.39,97.6,2.4,62.2,99.4,0.6,65.4
S2a_20,10.0,0.3,0.5,1.0,100.0,496,10.39,93.5,6.5,97.7,95.6,4.4,100.8
S2a_20,10.0,0.3,0.5,1.5,30.0,496,10.197,99.4,0.6,34.8,100.0,0.0,38.0
S2a_20,10.0,0.3,0.5,1.5,60.0,497,10.197,98.8,1.2,61.0,99.6,0.4,64.2
S2a_20,10.0,0.3,0.5,1.5,100.0,498,10.197,94.6,5.4,95.8,97.8,2.2,99.0
S4_40,0.0,0.0,1.0,0.0,30.0,453,1.633,100.0,0.0,31.3,100.0,0.0,34.5
S4_40,0.0,0.0,1.0,0.0,60.0,453,1.633,100.0,0.0,55.9,100.0,0.0,59.1
S4_40,0.0,0.0,1.0,0.0,100.0,455,1.633,100.0,0.0,88.7,100.0,0.0,91.9
S4_40,5.0,0.0,1.0,0.0,30.0,461,0.44,100.0,0.0,29.7,100.0,0.0,32.9
S4_40,5.0,0.0,1.0,0.0,60.0,461,0.44,100.0,0.0,52.0,100.0,0.0,55.2
S4_40,5.0,0.0,1.0,0.0,100.0,461,0.44,100.0,0.0,81.8,100.0,0.0,84.9
S4_40,5.0,0.0,1.0,0.5,30.0,454,1.306,100.0,0.0,31.6,100.0,0.0,34.7
S4_40,5.0,0.0,1.0,0.5,60.0,454,1.306,100.0,0.0,55.6,100.0,0.0,58.7
S4_40,5.0,0.0,1.0,0.5,100.0,454,1.306,100.0,0.0,87.6,100.0,0.0,90.7
S4_40,5.0,0.0,1.0,0.8,30.0,449,2.013,100.0,0.0,32.9,100.0,0.0,36.1
S4_40,5.0,0.0,1.0,0.8,60.0,449,2.013,100.0,0.0,58.2,100.0,0.0,61.4
S4_40,5.0,0.0,1.0,0.8,100.0,449,2.013,100.0,0.0,92.0,100.0,0.0,95.1
S4_40,5.0,0.0,1.0,1.0,30.0,445,2.593,100.0,0.0,33.7,100.0,0.0,36.9
S4_40,5.0,0.0,1.0,1.0,60.0,445,2.593,100.0,0.0,59.8,100.0,0.0,62.9
S4_40,5.0,0.0,1.0,1.0,100.0,445,2.593,100.0,0.0,94.6,100.0,0.0,97.7
S4_40,5.0,0.0,1.0,1.5,30.0,405,4.301,99.5,0.0,35.7,99.5,0.0,38.9
