scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths,nonfire_injected,nonfire_confirmed,nonfire_pollution_rate,nonfire_actual,nonfire_actual_confirmed,nonfire_pollution_rate_actual
S11on,2,nonfire_2,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,23,2.236,0.059,6.354,0.9933,0.0,2.775,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13,2,2,1.0,1,1,1.0
S11on,2,nonfire_2,25,2.106,0.05,6.334,0.9605,0.0,2.767,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,26,1.394,1.031,5.494,0.9675,0.0,2.754,1.0,100.0,13,2,2,1.0,1,1,1.0
S11on,2,nonfire_2,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,30,2.115,0.096,6.334,0.9931,0.0,2.769,1.0,100.0,13,2,1,0.5,1,0,0.0
S11on,4,nonfire_4,1,4.196,5.406,6.321,0.9697,0.0,2.745,0.9091,100.0,11,4,1,0.25,4,1,0.25
S11on,4,nonfire_4,2,2.622,0.33,6.442,0.9776,0.0,2.773,0.9091,100.0,11,4,2,0.5,2,0,0.0
S11on,4,nonfire_4,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13,4,3,0.75,0,0,0.0
S11on,4,nonfire_4,4,0.932,0.096,6.334,0.9467,0.0,2.717,1.0,100.0,12,4,3,0.75,2,1,0.5
S11on,4,nonfire_4,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13,4,4,1.0,0,0,0.0
S11on,4,nonfire_4,6,2.73,0.059,6.354,0.9559,0.0,2.783,1.0,100.0,12,4,2,0.5,3,1,0.3333
S11on,4,nonfire_4,7,2.277,0.054,6.321,0.9477,0.0,2.775,1.0,100.0,12,4,2,0.5,2,0,0.0
S11on,4,nonfire_4,8,2.308,0.103,6.421,0.894,0.0,2.767,1.0,100.0,12,4,3,0.75,1,0,0.0
S11on,4,nonfire_4,9,2.277,0.054,6.321,1.0,0.0,2.792,1.0,100.0,12,4,3,0.75,2,1,0.5
S11on,4,nonfire_4,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13,4,4,1.0,1,1,1.0
S11on,4,nonfire_4,11,2.078,13.642,7.121,0.9797,0.0,2.758,1.0,100.0,12,4,3,0.75,2,1,0.5
S11on,4,nonfire_4,12,2.628,0.096,6.321,0.9,0.0,2.782,0.9091,100.0,11,4,1,0.25,2,0,0.0
S11on,4,nonfire_4,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,4,4,1.0,0,0,0.0
S11on,4,nonfire_4,14,2.942,0.096,6.334,0.9548,0.0,2.762,1.0,100.0,13,4,4,1.0,1,1,1.0
S11on,4,nonfire_4,15,2.387,0.214,6.354,0.9781,0.0,2.773,1.0,100.0,11,4,1,0.25,3,0,0.0
S11on,4,nonfire_4,16,2.893,1.126,5.614,0.9935,0.0,2.777,1.0,100.0,13,4,4,1.0,1,1,1.0
S11on,4,nonfire_4,17,2.222,0.06,6.321,0.985,0.0,2.767,1.0,100.0,12,4,2,0.5,2,0,0.0
S11on,4,nonfire_4,18,2.308,0.103,6.421,0.9384,0.0,2.767,1.0,100.0,12,4,3,0.75,1,0,0.0
S11on,4,nonfire_4,19,2.277,0.054,6.38,0.9852,0.0,2.775,1.0,100.0,12,4,2,0.5,2,0,0.0
S11on,4,nonfire_4,20,2.308,0.103,6.421,0.9726,0.0,2.767,1.0,100.0,12,4,3,0.75,1,0,0.0
S11on,4,nonfire_4,21,2.47,0.302,6.421,0.9348,0.0,2.764,1.0,100.0,11,4,2,0.5,2,0,0.0
S11on,4,nonfire_4,22,2.197,0.064,6.334,0.9868,0.0,2.775,1.0,100.0,12,4,3,0.75,1,0,0.0
S11on,4,nonfire_4,23,0.867,0.096,6.334,0.9935,0.0,2.715,1.0,100.0,13,4,4,1.0,1,1,1.0
S11on,4,nonfire_4,24,2.41,0.096,6.304,0.96,0.0,2.775,1.0,100.0,12,4,3,0.75,1,0,0.0
S11on,4,nonfire_4,25,2.106,0.05,6.334,0.9597,0.0,2.767,1.0,100.0,12,4,3,0.75,1,0,0.0
S11on,4,nonfire_4,26,2.277,0.054,6.321,0.9658,0.0,2.775,1.0,100.0,12,4,3,0.75,1,0,0.0
S11on,4,nonfire_4,27,2.222,0.06,6.321,0.9493,0.0,2.767,1.0,100.0,12,4,2,0.5,2,0,0.0
S11on,4,nonfire_4,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13,4,3,0.75,0,0,0.0
S11on,4,nonfire_4,29,2.402,0.024,6.321,0.958,0.0,2.773,1.0,100.0,11,4,2,0.5,2,0,0.0
S11on,4,nonfire_4,30,2.115,0.096,6.334,0.9872,0.0,2.785,1.0,100.0,13,4,3,0.75,1,1,1.0
S11on,8,nonfire_8,1,0.807,1.953,6.321,0.9853,0.0,2.733,1.0,100.0,12,8,6,0.75,3,1,0.3333
S11on,8,nonfire_8,2,2.656,0.558,6.454,0.9535,0.0,2.77,1.0,100.0,10,8,5,0.625,3,0,0.0
S11on,8,nonfire_8,3,2.115,0.096,6.334,0.979,0.0,2.769,1.0,100.0,13,8,6,0.75,2,0,0.0
S11on,8,nonfire_8,4,2.578,0.196,6.38,0.9203,0.0,2.78,1.0,100.0,10,8,5,0.625,3,0,0.0
S11on,8,nonfire_8,5,2.628,0.096,6.321,0.8512,0.0,2.773,0.9091,100.0,11,8,5,0.625,4,1,0.25
S11on,8,nonfire_8,6,4.716,7.527,7.934,0.9603,0.0,2.769,1.0,100.0,13,8,8,1.0,2,2,1.0
S11on,8,nonfire_8,7,2.862,0.414,6.411,0.9256,0.0,2.77,0.9,100.0,10,8,4,0.5,4,0,0.0
S11on,8,nonfire_8,8,2.449,10.586,6.804,0.9155,0.0,2.8,1.0,100.0,11,8,5,0.625,4,1,0.25
S11on,8,nonfire_8,9,3.092,0.558,6.437,0.9767,0.0,2.78,0.9,100.0,10,8,5,0.625,3,0,0.0
S11on,8,nonfire_8,10,6.066,0.096,6.334,0.9868,0.0,2.767,1.0,100.0,12,8,7,0.875,1,0,0.0
S11on,8,nonfire_8,11,2.866,0.089,6.38,0.9571,0.0,2.8,0.9,100.0,10,8,4,0.5,4,1,0.25
S11on,8,nonfire_8,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13,8,7,0.875,0,0,0.0
S11on,8,nonfire_8,13,2.284,0.717,6.354,0.9726,0.0,2.773,0.9091,100.0,11,8,5,0.625,2,0,0.0
S11on,8,nonfire_8,14,2.319,0.13,6.321,0.9577,0.0,2.773,1.0,100.0,11,8,5,0.625,3,0,0.0
S11on,8,nonfire_8,15,2.277,0.054,6.321,0.952,0.0,2.775,1.0,100.0,12,8,6,0.75,2,0,0.0
S11on,8,nonfire_8,16,2.47,0.302,6.421,0.9779,0.0,2.764,1.0,100.0,11,8,6,0.75,2,0,0.0
S11on,8,nonfire_8,17,3.661,20.521,6.437,0.9632,0.0,2.789,0.7778,100.0,9,8,3,0.375,4,0,0.0
S11on,8,nonfire_8,18,2.277,0.054,6.321,0.9545,0.0,2.775,1.0,100.0,12,8,6,0.75,1,0,0.0
S11on,8,nonfire_8,19,2.277,0.054,6.38,0.9934,0.0,2.775,1.0,100.0,12,8,6,0.75,2,0,0.0
S11on,8,nonfire_8,20,2.552,0.196,6.321,0.9583,0.0,2.78,1.0,100.0,10,8,4,0.5,4,0,0.0
S11on,8,nonfire_8,21,2.616,0.096,6.38,0.9179,0.0,2.782,1.0,100.0,11,8,6,0.75,2,0,0.0
S11on,8,nonfire_8,22,3.703,0.537,6.354,0.9848,0.0,2.773,0.9091,100.0,11,8,5,0.625,4,1,0.25
S11on,8,nonfire_8,23,0.896,0.094,6.321,1.0,0.0,2.74,1.0,100.0,10,8,5,0.625,4,1,0.25
S11on,8,nonfire_8,24,3.622,6.117,6.594,0.9385,0.0,2.77,1.0,100.0,10,8,5,0.625,5,2,0.4
S11on,8,nonfire_8,25,2.618,0.774,6.487,0.9343,0.0,2.78,1.0,100.0,10,8,4,0.5,3,0,0.0
S11on,8,nonfire_8,26,2.41,0.096,6.304,0.9662,0.0,2.775,1.0,100.0,12,8,6,0.75,2,0,0.0
S11on,8,nonfire_8,27,2.277,0.054,6.38,0.9124,0.0,2.775,1.0,100.0,12,8,7,0.875,1,0,0.0
S11on,8,nonfire_8,28,2.308,0.103,6.421,0.9655,0.0,2.775,1.0,100.0,12,8,7,0.875,2,1,0.5
S11on,8,nonfire_8,29,2.115,0.096,6.334,0.9784,0.0,2.769,1.0,100.0,13,8,6,0.75,2,0,0.0
S11on,8,nonfire_8,30,3.361,10.264,6.412,0.9922,0.0,2.78,0.8,100.0,10,8,3,0.375,4,0,0.0
