model,geom,wind_kmh,LB,ignition_d_m,tau_s,estimable_pct,died_frac,dir_err_nominal_mean,dir_err_nominal_std,dir_err_local_mean,dir_err_local_std,speed_err_nominal_pct_mean,speed_err_nominal_pct_std,speed_err_local_pct_mean,speed_err_local_pct_std,speed_true_local_mean,speed_true_local_std
ellipse,flank,50.0,6.48,60.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,60.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,60.0,78.5,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,120.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,120.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,120.0,78.5,0.0,100.0,,,,,,,,,,
straight_S1,-,,,,0.0,100.0,100.0,2.1152,0.0,,,-0.0961,0.0,,,,
straight_S1,-,,,,11.0,100.0,100.0,0.3813,0.0,,,1.2194,0.0,,,,
straight_S1,-,,,,78.5,100.0,100.0,0.3453,0.0,,,3.1372,0.0,,,,
curved_S2a10,-,,,,0.0,100.0,100.0,4.7572,3.5354,,,16.3133,8.6284,,,,
curved_S2a10,-,,,,11.0,100.0,100.0,4.396,3.2178,,,8.0935,4.4343,,,,
curved_S2a10,-,,,,78.5,100.0,100.0,4.274,3.2281,,,8.4935,3.5997,,,,
curved_S2a20,-,,,,0.0,100.0,100.0,10.5806,8.7327,,,29.8012,17.2078,,,,
curved_S2a20,-,,,,11.0,100.0,100.0,12.5708,16.3492,,,15.6399,10.6382,,,,
curved_S2a20,-,,,,78.5,100.0,100.0,7.9723,6.4356,,,5.8729,5.304,,,,
