model,geom,wind_kmh,ignition_d_m,tau_s,seed,dir_err_nominal,dir_err_local,speed_est,speed_err_nominal_pct,speed_err_local_pct,speed_true_local,estimable,n_nonsink,n_died,t_max
ellipse,head,10.0,30.0,78.5,20,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,21,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,22,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,23,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,24,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,25,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,26,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,27,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,28,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,29,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,78.5,30,10.194759243462524,1.2230201535475556,1.4139056786578854,-5.739621422807639,-0.12159757709058533,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,60.0,0.0,1,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,2,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,3,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,4,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,5,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,6,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,7,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,8,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,9,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,10,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,11,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,12,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,13,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,14,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
