arm,scenario,threshold_C,tau_s,peak_C,miss_rate_mean,miss_rate_std,blind_rate_mean,n_confirmed_mean,excluded_nonfire_mean,dir_ok_rate,exposed_mean
warn_fixed,S2a_10,60.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,78.5,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,78.5,300.0,96.33,5.36,96.33,0.55,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,78.5,500.0,0.0,0.0,12.0,13.2,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,100.0,300.0,99.67,1.45,99.67,0.05,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,100.0,500.0,4.67,3.71,10.33,13.45,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,11.0,150.0,7.33,4.67,9.33,13.6,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,11.0,200.0,0.0,0.0,12.0,13.2,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,11.0,300.0,0.0,0.0,11.33,13.3,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,11.0,500.0,0.0,0.0,12.0,13.2,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,30.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,30.0,200.0,91.67,5.11,91.67,1.25,0.0,5.0,15.0
warn_fixed,S2a_10,70.0,30.0,300.0,0.33,1.45,12.33,13.15,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,30.0,500.0,0.0,0.0,11.33,13.3,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,50.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,50.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,50.0,300.0,80.67,6.29,80.67,2.9,0.0,20.0,15.0
