t_max,front,mode,tau_s,seed,med,v_true_bar,speed_err_nominal_pct,speed_err_realized_pct
120.0,straight_S1,uniform,11.0,26,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,27,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,28,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,29,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,30,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,20.0,1,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,2,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,3,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,4,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,5,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,6,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,7,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,8,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,9,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,10,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,11,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,12,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,13,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,14,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,15,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,16,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,17,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,18,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,19,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,20,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,21,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,22,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,23,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,24,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,25,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,26,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,27,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,28,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,29,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,20.0,30,1.5342007428954665,1.5,2.280049526364432,2.280049526364432
120.0,straight_S1,uniform,30.0,1,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,2,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,3,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,4,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,5,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,6,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,7,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,8,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,9,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,10,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,11,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,12,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,13,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
120.0,straight_S1,uniform,30.0,14,1.5325523015172788,1.5,2.1701534344852558,2.1701534344852558
