dir_index,origin_deg,origin_x,origin_y,truth_center_deg,rep,sigma_s,dir_global_deg,err_deg,n_local,fake
0,0.0,0.8024,0.3015,180.0,138,12.13,179.3458013811775,0.6541986188225337,16,1
0,0.0,0.8024,0.3015,180.0,139,12.13,180.80884879924432,0.8088487992443163,16,1
0,0.0,0.8024,0.3015,180.0,140,12.13,180.09658940566192,0.09658940566191632,16,1
0,0.0,0.8024,0.3015,180.0,141,12.13,179.56395041088783,0.43604958911214453,16,1
0,0.0,0.8024,0.3015,180.0,142,12.13,179.63532778718056,0.3646722128194142,16,1
0,0.0,0.8024,0.3015,180.0,143,12.13,178.65689266003153,1.3431073399684692,16,1
0,0.0,0.8024,0.3015,180.0,144,12.13,180.71282221494033,0.7128222149403314,16,1
0,0.0,0.8024,0.3015,180.0,145,12.13,180.2259880250044,0.22598802500439774,16,1
0,0.0,0.8024,0.3015,180.0,146,12.13,180.1203110019158,0.1203110019158089,16,1
0,0.0,0.8024,0.3015,180.0,147,12.13,180.76685747831758,0.7668574783175757,16,1
0,0.0,0.8024,0.3015,180.0,148,12.13,179.87141280484477,0.12858719515520534,16,1
0,0.0,0.8024,0.3015,180.0,149,12.13,179.45037111811914,0.5496288818808353,16,1
0,0.0,0.8024,0.3015,180.0,150,12.13,180.59438689683284,0.5943868968328445,16,1
0,0.0,0.8024,0.3015,180.0,151,12.13,180.33285507840242,0.33285507840241735,16,1
0,0.0,0.8024,0.3015,180.0,152,12.13,181.04486672861495,1.0448667286149487,16,1
0,0.0,0.8024,0.3015,180.0,153,12.13,181.16897792562307,1.168977925623068,16,1
0,0.0,0.8024,0.3015,180.0,154,12.13,179.7629225855016,0.23707741449840114,16,1
0,0.0,0.8024,0.3015,180.0,155,12.13,180.52713017671365,0.5271301767136549,16,1
0,0.0,0.8024,0.3015,180.0,156,12.13,180.70432031343935,0.7043203134393536,16,1
0,0.0,0.8024,0.3015,180.0,157,12.13,180.10193766153475,0.10193766153474826,16,1
0,0.0,0.8024,0.3015,180.0,158,12.13,179.8591770822511,0.140822917748892,16,1
0,0.0,0.8024,0.3015,180.0,159,12.13,179.60938848238735,0.3906115176126832,16,1
0,0.0,0.8024,0.3015,180.0,160,12.13,179.988454097523,0.011545902476996162,16,1
0,0.0,0.8024,0.3015,180.0,161,12.13,179.78255685598404,0.21744314401598785,16,1
0,0.0,0.8024,0.3015,180.0,162,12.13,180.42059769447934,0.4205976944793406,16,1
0,0.0,0.8024,0.3015,180.0,163,12.13,179.5872615987108,0.41273840128917527,16,1
0,0.0,0.8024,0.3015,180.0,164,12.13,180.5638045380797,0.5638045380796939,16,1
0,0.0,0.8024,0.3015,180.0,165,12.13,180.00888473337804,0.0088847333780393,16,1
0,0.0,0.8024,0.3015,180.0,166,12.13,179.44863591802718,0.5513640819727925,16,1
0,0.0,0.8024,0.3015,180.0,167,12.13,180.00862535719196,0.008625357191959893,16,1
0,0.0,0.8024,0.3015,180.0,168,12.13,179.08893893803614,0.9110610619638919,16,1
0,0.0,0.8024,0.3015,180.0,169,12.13,179.35957294417082,0.64042705582915,16,1
0,0.0,0.8024,0.3015,180.0,170,12.13,179.59281371855192,0.40718628144804825,16,1
0,0.0,0.8024,0.3015,180.0,171,12.13,179.89243426827773,0.1075657317222749,16,1
0,0.0,0.8024,0.3015,180.0,172,12.13,179.76127126340933,0.23872873659070137,16,1
0,0.0,0.8024,0.3015,180.0,173,12.13,180.26308390604646,0.2630839060464609,16,1
0,0.0,0.8024,0.3015,180.0,174,12.13,180.13305788670507,0.13305788670507468,16,1
0,0.0,0.8024,0.3015,180.0,175,12.13,179.91017076295591,0.08982923704411405,16,1
0,0.0,0.8024,0.3015,180.0,176,12.13,179.7988448694563,0.20115513054372514,16,1
0,0.0,0.8024,0.3015,180.0,177,12.13,179.185146042706,0.8148539572939626,16,1
0,0.0,0.8024,0.3015,180.0,178,12.13,180.80974042592453,0.8097404259245309,16,1
0,0.0,0.8024,0.3015,180.0,179,12.13,180.1492941964258,0.14929419642581365,16,1
0,0.0,0.8024,0.3015,180.0,180,12.13,180.0741855671119,0.07418556711189694,16,1
0,0.0,0.8024,0.3015,180.0,181,12.13,180.0366246433401,0.03662464334010451,16,1
0,0.0,0.8024,0.3015,180.0,182,12.13,179.59398259082707,0.4060174091729323,16,1
0,0.0,0.8024,0.3015,180.0,183,12.13,180.30129705574518,0.30129705574518084,16,1
0,0.0,0.8024,0.3015,180.0,184,12.13,179.9297678036327,0.07023219636732847,16,1
0,0.0,0.8024,0.3015,180.0,185,12.13,179.86932198999455,0.13067801000545387,16,1
0,0.0,0.8024,0.3015,180.0,186,12.13,179.82991196983758,0.17008803016244656,16,1
0,0.0,0.8024,0.3015,180.0,187,12.13,179.8848237317015,0.11517626829851224,16,1
0,0.0,0.8024,0.3015,180.0,188,12.13,179.01185635375083,0.9881436462491706,16,1
0,0.0,0.8024,0.3015,180.0,189,12.13,180.65373564144872,0.6537356414487192,16,1
0,0.0,0.8024,0.3015,180.0,190,12.13,179.69740063783783,0.302599362162141,16,1
0,0.0,0.8024,0.3015,180.0,191,12.13,180.00468181145988,0.004681811459875007,16,1
0,0.0,0.8024,0.3015,180.0,192,12.13,178.70426969744165,1.2957303025583542,16,1
0,0.0,0.8024,0.3015,180.0,193,12.13,180.17310031734493,0.17310031734493236,16,1
0,0.0,0.8024,0.3015,180.0,194,12.13,179.28668518875693,0.7133148112430945,16,1
0,0.0,0.8024,0.3015,180.0,195,12.13,179.67882908766003,0.3211709123399942,16,1
0,0.0,0.8024,0.3015,180.0,196,12.13,179.87640344611447,0.12359655388553392,16,1
0,0.0,0.8024,0.3015,180.0,197,12.13,179.91683043488905,0.08316956511094986,16,1
0,0.0,0.8024,0.3015,180.0,198,12.13,180.15612719263763,0.15612719263762642,16,1
0,0.0,0.8024,0.3015,180.0,199,12.13,179.33883790742289,0.6611620925771149,16,1
1,30.0,0.7355,0.5512,210.0,0,12.13,210.10054624792386,0.1005462479238588,16,1
1,30.0,0.7355,0.5512,210.0,1,12.13,208.34586554471838,1.6541344552816213,16,1
1,30.0,0.7355,0.5512,210.0,2,12.13,209.93363141785045,0.06636858214955055,16,1
1,30.0,0.7355,0.5512,210.0,3,12.13,210.09450576049315,0.09450576049314918,16,1
1,30.0,0.7355,0.5512,210.0,4,12.13,210.0118936992784,0.011893699278402892,16,1
1,30.0,0.7355,0.5512,210.0,5,12.13,210.5530215540964,0.5530215540964036,16,1
1,30.0,0.7355,0.5512,210.0,6,12.13,209.96983651865773,0.03016348134224245,16,1
1,30.0,0.7355,0.5512,210.0,7,12.13,209.68116995604777,0.31883004395223224,16,1
1,30.0,0.7355,0.5512,210.0,8,12.13,209.00838936596034,0.9916106340396595,16,1
1,30.0,0.7355,0.5512,210.0,9,12.13,209.29016570968446,0.7098342903155412,16,1
