포트 COM6 · 175분 · 재부팅 흔적만 찍는다
★ 지금 이 포트를 열면서 그 노드가 한 번 재부팅된다(우리가 낸 것). t<5s 는 EXPECTED.
     0.01 EXPECTED(우리가 낸 DTR 리셋)       rst:0x1 (POWERON_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1864.12 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1864.89 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1864.90 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1865.66 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1865.67 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1866.43 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1866.44 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1867.20 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1867.21 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1867.97 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1867.98 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1868.76 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1868.77 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1869.54 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1869.55 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1870.31 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1870.32 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1871.08 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1871.09 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1871.85 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1871.86 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1872.62 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1872.63 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1873.40 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1873.41 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1874.17 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1874.18 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1874.95 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1874.96 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1875.74 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1875.75 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1876.52 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1876.53 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1877.29 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1877.30 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1878.06 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1878.07 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1878.83 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1878.84 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1879.61 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
  1879.62 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
  1880.62 ★ 자발 재부팅 / MESHID(부팅 배너)     {"type":"MESHID","id":10,"mid":3179094101,"is_root":0,"bridge_index":99,"role":"NODE","death_threshold_c":80.0
